Designator,Mid X,Mid Y,Layer,Rotation
R144,153.85,6.9,T,270
R145,153.85,10.85,T,270
R146,161.55,7.75,B,0
R147,151.75,6.9,T,270
R148,151.75,10.85,T,270
R149,149.65,6.9,T,270
R150,149.65,10.85,T,270
R151,169.25,10.9,B,0
R152,147.55,6.9,T,270
R153,147.55,10.85,T,270
R154,145.45,6.9,T,270
R155,145.45,10.85,T,270
R156,169.25,8.8,B,0
R157,143.35,6.9,T,270
R158,143.35,10.85,T,270
R159,141.25,6.9,T,270
R160,139.15,6.9,T,270
R161,21.5,45.65,B,0
R162,66.65,34,B,0
R163,21.5,28.4,B,0
R164,66.6,12.7,B,0
R165,48.15,58.6,B,90
R166,27.75,58.6,B,90
R167,52.25,58.6,B,90
R168,31.85,58.6,B,90
R169,50.2,58.6,B,90
R170,29.8,58.6,B,90
R171,178.3,46.4,B,90
R172,182.4,46.4,B,90
R173,205.2,35.9,B,0
R174,205.2,38.45,B,0
R175,192.1,20.65,B,0
R176,71.75,100.85,T,270
R177,66.5,100.85,T,270
R178,175.6,130.5,T,270
R179,175.6,137.9,T,270
R180,105.3,119.25,B,90
R181,107.35,119.25,B,90
R182,110.4,119.25,B,90
R183,112.45,119.25,B,90
R184,68.45,136,B,90
R185,179.85,32.5,B,90
R186,190.9,12.85,B,90
R190,216.3,97.3,T,270
R191,170.1,97.5,T,0
R192,210.6,96.75,T,270
R196,201.8,32.6,B,0
R197,198.1,78.65,B,0
R198,207.75,77.2,B,90
R199,209.8,77.2,B,90
R200,211.85,77.2,B,90
